     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;       1000;         384.601;           9.554;           9.669;           9.581;           0.028 ( 0.289 %);  15926.747
   UNROLL4;           0.312;           0.000;           0.000;         20;       1000;          75.967;           9.385;           9.427;           9.403;           0.012 ( 0.129 %);  16227.471
   UNROLL8;           0.312;           0.000;           0.000;         20;       1000;         109.470;           9.555;           9.617;           9.581;           0.017 ( 0.180 %);  15926.798
     CBLAS;           0.312;           0.000;           0.000;         20;       1000;         230.085;          14.181;          15.539;          14.242;           0.233 ( 1.638 %);  10714.028
