     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;       1000;         490.528;           4.660;           4.821;           4.675;           0.027 ( 0.578 %);  32641.872
   UNROLL4;           0.312;           0.000;           0.000;         20;       1000;         351.877;           6.459;           6.553;           6.478;           0.016 ( 0.253 %);  23553.903
   UNROLL8;           0.312;           0.000;           0.000;         20;       1000;         781.448;           7.355;           7.411;           7.370;           0.012 ( 0.162 %);  20703.665
     CBLAS;           0.312;           0.000;           0.000;         20;       1000;         544.293;          13.703;          15.207;          13.768;           0.259 ( 1.879 %);  11082.866
