     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;       1000;        1174.183;           9.235;           9.390;           9.268;           0.032 ( 0.344 %);  16463.735
   UNROLL4;           0.312;           0.000;           0.000;         20;       1000;         421.124;           9.398;           9.496;           9.444;           0.029 ( 0.310 %);  16156.710
   UNROLL8;           0.312;           0.000;           0.000;         20;       1000;         198.335;           9.561;           9.678;           9.638;           0.021 ( 0.221 %);  15832.103
     CBLAS;           0.312;           0.000;           0.000;         20;       1000;         242.964;          14.433;          15.842;          14.503;           0.245 ( 1.691 %);  10521.280
