     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;       1000;         249.447;           9.555;           9.840;           9.680;           0.055 ( 0.570 %);  15763.014
   UNROLL4;           0.312;           0.000;           0.000;         20;       1000;        2950.560;           9.706;           9.824;           9.730;           0.027 ( 0.273 %);  15681.671
   UNROLL8;           0.312;           0.000;           0.000;         20;       1000;        3095.965;           9.572;           9.681;           9.606;           0.021 ( 0.215 %);  15885.396
     CBLAS;           0.312;           0.000;           0.000;         20;       1000;         274.550;          14.192;          15.451;          14.250;           0.216 ( 1.516 %);  10708.241
