     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;       1000;        4011.563;        4175.244;        4065.314;          41.329 ( 1.017 %);    750.682
       IKJ;           9.375;           0.009;           0.000;         20;       1000;        3270.754;        3470.726;        3412.402;          40.723 ( 1.193 %);    894.314
       IEX;           9.375;           0.009;           0.000;         20;       1000;        3390.787;        3557.631;        3427.931;          41.624 ( 1.214 %);    890.262
    UNROLL;           9.375;           0.009;           0.000;         20;       1000;        3039.459;        3234.899;        3087.749;          53.547 ( 1.734 %);    988.344
   UNROLL8;           9.375;           0.009;           0.000;         20;       1000;        2475.572;        2675.890;        2514.010;          42.410 ( 1.687 %);   1213.900
     CBLAS;           9.375;           0.009;           0.000;         20;       1000;        2236.646;        2370.593;        2264.373;          39.949 ( 1.764 %);   1347.727
