     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;       1000;        3822.707;        3963.528;        3904.394;          33.020 ( 0.846 %);    781.621
       IKJ;           9.375;           0.009;           0.000;         20;       1000;        2311.860;        2519.133;        2417.414;          41.623 ( 1.722 %);   1262.406
       IEX;           9.375;           0.009;           0.000;         20;       1000;        2374.014;        2507.545;        2426.820;          36.745 ( 1.514 %);   1257.513
    UNROLL;           9.375;           0.009;           0.000;         20;       1000;        3031.512;        3200.961;        3079.671;          55.645 ( 1.807 %);    990.936
   UNROLL8;           9.375;           0.009;           0.000;         20;       1000;        2846.602;        3021.592;        2870.209;          38.502 ( 1.341 %);   1063.253
     CBLAS;           9.375;           0.009;           0.000;         20;       1000;        2292.259;        2387.161;        2313.084;          30.811 ( 1.332 %);   1319.346
