     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;       1000;        3859.091;        4188.522;        3940.355;          74.496 ( 1.891 %);    774.488
       IKJ;           9.375;           0.009;           0.000;         20;       1000;        2160.764;        2326.378;        2269.551;          30.740 ( 1.354 %);   1344.653
       IEX;           9.375;           0.009;           0.000;         20;       1000;        2265.729;        2331.056;        2272.262;          12.677 ( 0.558 %);   1343.048
    UNROLL;           9.375;           0.009;           0.000;         20;       1000;        3057.554;        3275.367;        3152.203;          71.836 ( 2.279 %);    968.135
   UNROLL8;           9.375;           0.009;           0.000;         20;       1000;        2862.335;        3068.556;        2931.171;          55.577 ( 1.896 %);   1041.140
     CBLAS;           9.375;           0.009;           0.000;         20;       1000;        2238.435;        2435.514;        2290.086;          56.342 ( 2.460 %);   1332.595
