     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;       1000;        3862.826;        4063.329;        3956.348;          36.495 ( 0.922 %);    771.357
       IKJ;           9.375;           0.009;           0.000;         20;       1000;        2178.637;        2380.614;        2301.541;          43.624 ( 1.895 %);   1325.963
       IEX;           9.375;           0.009;           0.000;         20;       1000;        2372.281;        2549.782;        2428.429;          42.230 ( 1.739 %);   1256.680
    UNROLL;           9.375;           0.009;           0.000;         20;       1000;        3032.818;        3140.701;        3073.593;          38.434 ( 1.250 %);    992.896
   UNROLL8;           9.375;           0.009;           0.000;         20;       1000;        2794.633;        3031.763;        2907.759;          61.936 ( 2.130 %);   1049.522
     CBLAS;           9.375;           0.009;           0.000;         20;       1000;        2240.499;        2373.495;        2311.890;          29.237 ( 1.265 %);   1320.027
