     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;       1000;         804.601;           8.434;           8.605;           8.467;           0.029 ( 0.343 %);  18020.579
   UNROLL4;           0.312;           0.000;           0.000;         20;       1000;        1763.452;           8.484;           8.616;           8.503;           0.023 ( 0.267 %);  17945.311
   UNROLL8;           0.312;           0.000;           0.000;         20;       1000;         289.635;           9.712;           9.782;           9.741;           0.018 ( 0.182 %);  15665.036
     CBLAS;           0.312;           0.000;           0.000;         20;       1000;         288.181;          14.189;          15.406;          14.245;           0.209 ( 1.467 %);  10711.954
