     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;       1000;         169.134;           9.528;           9.656;           9.556;           0.028 ( 0.293 %);  15968.163
   UNROLL4;           0.312;           0.000;           0.000;         20;       1000;         733.809;           9.710;           9.816;           9.765;           0.022 ( 0.227 %);  15626.340
   UNROLL8;           0.312;           0.000;           0.000;         20;       1000;         505.458;           9.792;           9.913;           9.817;           0.022 ( 0.220 %);  15542.463
     CBLAS;           0.312;           0.000;           0.000;         20;       1000;         308.681;          14.935;          16.578;          15.003;           0.283 ( 1.887 %);  10170.636
