     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;       1000;         708.888;          11.017;          11.186;          11.040;           0.029 ( 0.263 %);  13821.822
   UNROLL4;           0.312;           0.000;           0.000;         20;       1000;        5949.731;           9.547;           9.653;           9.574;           0.024 ( 0.248 %);  15937.938
   UNROLL8;           0.312;           0.000;           0.000;         20;       1000;         357.501;           9.565;           9.647;           9.626;           0.019 ( 0.195 %);  15851.341
     CBLAS;           0.312;           0.000;           0.000;         20;       1000;         192.211;          13.942;          15.256;          14.002;           0.226 ( 1.611 %);  10897.838
