     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;       1000;          61.070;           6.722;           6.977;           6.750;           0.042 ( 0.621 %);  22603.990
   UNROLL4;           0.312;           0.000;           0.000;         20;       1000;          69.234;           6.131;           6.178;           6.152;           0.009 ( 0.152 %);  24801.263
   UNROLL8;           0.312;           0.000;           0.000;         20;       1000;         158.915;           7.518;           7.567;           7.535;           0.011 ( 0.149 %);  20250.061
     CBLAS;           0.312;           0.000;           0.000;         20;       1000;          75.664;          13.228;          14.341;          13.280;           0.191 ( 1.437 %);  11489.711
