    title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;       1000;         121.127;           7.355;           7.470;           7.377;           0.019 ( 0.260 %);  20682.915
   UNROLL4;           0.312;           0.000;           0.000;         20;       1000;          53.761;           5.477;           5.521;           5.493;           0.010 ( 0.177 %);  27781.060
   UNROLL8;           0.312;           0.000;           0.000;         20;       1000;         340.556;           7.593;           7.621;           7.610;           0.010 ( 0.126 %);  20052.009
     CBLAS;           0.312;           0.000;           0.000;         20;       1000;         190.991;          13.047;          14.249;          13.198;           0.198 ( 1.498 %);  11561.494
