     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;       1000;          64.744;           8.586;           8.983;           8.777;           0.112 ( 1.275 %);  17385.151
   UNROLL4;           0.312;           0.000;           0.000;         20;       1000;         244.500;           5.349;           5.408;           5.362;           0.011 ( 0.203 %);  28455.985
   UNROLL8;           0.312;           0.000;           0.000;         20;       1000;          68.688;           7.450;           7.499;           7.466;           0.011 ( 0.148 %);  20438.118
     CBLAS;           0.312;           0.000;           0.000;         20;       1000;         169.794;          13.164;          14.475;          13.224;           0.225 ( 1.701 %);  11538.313
