    title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;       1000;          74.199;           5.638;           5.776;           5.655;           0.023 ( 0.411 %);  26983.551
   UNROLL4;           0.312;           0.000;           0.000;         20;       1000;          72.020;           4.913;           5.042;           4.927;           0.022 ( 0.437 %);  30967.832
   UNROLL8;           0.312;           0.000;           0.000;         20;       1000;          83.719;           6.618;           6.655;           6.633;           0.010 ( 0.146 %);  23002.884
     CBLAS;           0.312;           0.000;           0.000;         20;       1000;          91.401;          13.190;          14.313;          13.246;           0.192 ( 1.450 %);  11519.756

