     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;       1000;        4459.645;        4652.197;        4543.619;          57.958 ( 1.276 %);    671.658
       IKJ;           9.375;           0.009;           0.000;         20;       1000;        2320.926;        2399.265;        2349.358;          29.522 ( 1.257 %);   1298.975
       IEX;           9.375;           0.009;           0.000;         20;       1000;        1895.372;        2068.171;        1965.980;          34.322 ( 1.746 %);   1552.283
    UNROLL;           9.375;           0.009;           0.000;         20;       1000;        2884.971;        3057.644;        2933.013;          58.833 ( 2.006 %);   1040.486
   UNROLL8;           9.375;           0.009;           0.000;         20;       1000;        1618.873;        1734.389;        1670.447;          25.254 ( 1.512 %);   1826.911
     CBLAS;           9.375;           0.009;           0.000;         20;       1000;        2237.333;        2423.257;        2282.293;          48.645 ( 2.131 %);   1337.145
