     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;       1000;        4421.935;        4705.796;        4504.986;          60.100 ( 1.334 %);    677.418
       IKJ;           9.375;           0.009;           0.000;         20;       1000;        4316.935;        4564.720;        4406.310;          64.881 ( 1.472 %);    692.588
       IEX;           9.375;           0.009;           0.000;         20;       1000;        4120.758;        4373.477;        4221.362;          74.084 ( 1.755 %);    722.932
    UNROLL;           9.375;           0.009;           0.000;         20;       1000;        2977.858;        3089.052;        2993.744;          25.015 ( 0.836 %);   1019.378
   UNROLL8;           9.375;           0.009;           0.000;         20;       1000;        2517.112;        2649.681;        2552.156;          39.131 ( 1.533 %);   1195.757
     CBLAS;           9.375;           0.009;           0.000;         20;       1000;        2239.133;        2288.876;        2249.487;          16.696 ( 0.742 %);   1356.646
