     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;       1000;        2535.870;        2756.100;        2659.159;          54.431 ( 2.047 %);   1147.640
       IKJ;           9.375;           0.009;           0.000;         20;       1000;        2320.920;        2431.437;        2369.823;          39.658 ( 1.673 %);   1287.758
       IEX;           9.375;           0.009;           0.000;         20;       1000;        1931.770;        2007.024;        1989.666;          12.144 ( 0.610 %);   1533.804
    UNROLL;           9.375;           0.009;           0.000;         20;       1000;        2901.889;        3216.196;        3002.622;          77.310 ( 2.575 %);   1016.364
   UNROLL8;           9.375;           0.009;           0.000;         20;       1000;        1649.429;        1736.998;        1712.863;          23.017 ( 1.344 %);   1781.671
     CBLAS;           9.375;           0.009;           0.000;         20;       1000;        2244.609;        2399.453;        2271.817;          41.365 ( 1.821 %);   1343.311
