     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;       1000;          66.229;           4.176;           4.294;           4.189;           0.020 ( 0.470 %);  36424.270
   UNROLL4;           0.312;           0.000;           0.000;         20;       1000;          50.094;           4.141;           4.177;           4.153;           0.008 ( 0.192 %);  36745.896
   UNROLL8;           0.312;           0.000;           0.000;         20;       1000;         154.047;           4.418;           4.446;           4.428;           0.007 ( 0.152 %);  34461.663
     CBLAS;           0.312;           0.000;           0.000;         20;       1000;          61.198;          12.247;          13.680;          12.318;           0.245 ( 1.990 %);  12387.757
