     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;       1000;          81.182;           6.879;           7.020;           6.899;           0.024 ( 0.349 %);  22117.392
   UNROLL4;           0.312;           0.000;           0.000;         20;       1000;          53.038;           5.251;           5.301;           5.262;           0.010 ( 0.196 %);  28998.747
   UNROLL8;           0.312;           0.000;           0.000;         20;       1000;         252.104;           7.232;           7.385;           7.360;           0.028 ( 0.379 %);  20731.538
     CBLAS;           0.312;           0.000;           0.000;         20;       1000;         115.918;          12.278;          13.742;          12.349;           0.251 ( 2.029 %);  12356.659
