     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;       1000;          52.530;           5.450;           5.698;           5.534;           0.053 ( 0.953 %);  27571.746
   UNROLL4;           0.312;           0.000;           0.000;         20;       1000;          83.288;           5.544;           5.594;           5.556;           0.010 ( 0.182 %);  27462.725
   UNROLL8;           0.312;           0.000;           0.000;         20;       1000;          95.108;           7.237;           7.400;           7.366;           0.026 ( 0.349 %);  20714.396
     CBLAS;           0.312;           0.000;           0.000;         20;       1000;          41.818;          12.192;          13.654;          12.260;           0.251 ( 2.046 %);  12446.271
