     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;       1000;          43.906;           5.481;           5.782;           5.564;           0.042 ( 0.756 %);  27423.837
   UNROLL4;           0.312;           0.000;           0.000;         20;       1000;          64.848;           5.546;           5.633;           5.560;           0.015 ( 0.267 %);  27444.912
   UNROLL8;           0.312;           0.000;           0.000;         20;       1000;         119.355;           7.245;           7.402;           7.343;           0.050 ( 0.681 %);  20778.676
     CBLAS;           0.312;           0.000;           0.000;         20;       1000;         804.158;          12.294;          13.706;          12.360;           0.242 ( 1.957 %);  12345.147
